Valg;Fylke;Partikode;Partiet De Kristne;Kandidatnr;Kandidat;Bosted;Stilling;Fødselsår;Kjønn
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;1;Johan Edvard Grimstad;Råde;;1964;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;2;Elin Johanne Tvete;Fredrikstad;;1976;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;3;Ingrid Elisabeth Strengen Gundersen;Eidsberg;;1967;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;4;Martin Hereid Kristiansen;Rakkestad;;1991;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;5;Liv Karin Tveter;Sarpsborg;;1948;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;6;Hilde Sørby Haakaas;Trøgstad;;1971;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;7;Jens Brynild Bakke;Halden;;1969;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;8;Annette Lindahl Raakil;Fredrikstad;;1992;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;9;Ole Andre Myhrvold;Trøgstad;;1978;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;10;Kjerstin Wøyen Funderud;Våler;;1970;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;11;Lars Holene;Askim;;1971;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;12;Anny-Guro Bjørnstad Gustavsen;Sarpsborg;;1983;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;13;Geir  Aarbu;Aremark;;1968;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;14;Karoline Fjeldstad;Rakkestad;;1979;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;15;Sten Morten Henningsmoen;Marker;;1973;Mann
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;16;Anne Kristoffersen;Spydeberg;;1963;Kvinne
Fylkestingsvalget 2015;Østfold;SP;Senterpartiet;17;Hans Ek;Fredrikstad;;1947;Mann
