valg,fylke,partikode,partinavn,kandidatnr,navn,bosted,stilling,fødselsår,kjønn
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;1;Marianne Gudmundson Chesak;Stavanger;"";1977;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;2;Tom Kalsås;Gjesdal;"";1986;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;3;Inghild Vanglo;Egersund;"";1953;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;4;Daniel Bøhn Rayner;Stavanger;"";1992;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;5;Astri Furumo;Haugesund;"";1948;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;6;Erling Nordgård;Stavanger;"";1982;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;7;Lin Veronica Jacobsen;Hjelmeland;"";1975;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;8;Faruk Brahimi;Sandnes;"";1977;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;9;Ann Iren Amundsen;Klepp;"";1978;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;10;Kjartan Øvstedal;Haugesund;"";1982;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;11;Siv-Len Strandskog;Sola;"";1967;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;12;Asle Rafdal;Sauda;"";1970;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;13;Farhia B. Nur;Stavanger;"";1987;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;14;Helge  Steinsvåg;Strand;"";1970;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;15;Marte Eide Klovning;Utsira;"";1983;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;16;Magne Vaule;Bjerkreim;"";1956;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;17;Bodil Elvie Tungland;Tysvær;"";1960;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;18;Hamza Ali;Sola;"";2000;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;19;Marianne Hirzel;Haugesund;"";1969;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;20;Arne Buchholdt Espedal;Sandnes;"";1981;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;21;Anne Brit Ree;Time;"";1955;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;22;Tom Tvedt;Randaberg;"";1968;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;23;Therese Anita Holmen;Sokndal;"";1971;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;24;Martin Arnøy Rygg;Randaberg;"";1990;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;25;Eli Nessa;Stavanger;"";1974;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;26;Kjell Magne Leirflåt;Lund;"";1949;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;27;Ingrid Wågen;Strand;"";1998;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;28;Frode Løland;Tysvær;"";1959;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;29;Veronika  Brekke Jakobsen;Karmøy;"";1971;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;30;Viggo Kalaoja;Sola;"";1981;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;31;Kristine Enger;Randaberg;"";1968;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;32;Frode Fjeldsbø;Gjesdal;"";1964;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;33;Tove Elise Olsen Frøland;Vindafjord;"";1965;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;34;Hamidullah Amiri;Sandnes;"";1977;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;35;Lillian Vikra;Tysvær;"";1970;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;36;Terje Emil Johannesen;Haugesund;"";1947;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;37;Svanhild L. Lygre Andersen;Karmøy;"";1974;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;38;Sigmund Rolfsen;Klepp;"";1954;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;39;Siv Hege Lund;Sauda;"";1983;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;40;Henrik Heimly Steinnes;Stavanger;"";1996;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;41;Cecilia Lindbåge Karlsen;Sandnes;"";1995;Kvinne
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;42;Lars O. Enevoldsen;Time;"";1955;Mann
Fylkestingsvalget 2019;Rogaland;A;Arbeiderpartiet;43;Tone Elin Berge;Hå;"";1967;Kvinne
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;1;Aage Vadla Otterbech;Stavanger;"";1966;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;2;Chris André Strømland;Tananger;"";1986;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;3;Stian Bjerga;Hundvåg;"";1974;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;4;Erik Håland;Sandnes;"";1974;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;5;Rune Skretting Racine;Kleppe;"";1957;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;6;Thor Sporkland;Stavanger;"";1972;Mann
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;7;Kjersti Margrethe Gilje;Hellevik;"";1959;Kvinne
Fylkestingsvalget 2019;Rogaland;DEMN;Demokratene;8;Espen Salte;Klepp;"";1988;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;1;Frode Myrhol;Stavanger;"";1972;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;2;Alexandra Eva Lind;Sandnes;"";1993;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;3;Ove Evertsen;Tananger;"";1962;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;4;Morten Malmin;Hundvåg;"";1978;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;5;Stian Tjensvold;Stavanger;"";1980;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;6;Aina Grude;Kleppe;"";1965;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;7;Lena Madsen;Sandnes;"";1982;Kvinne
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;8;Leif Bjarne Høybakk;Stavanger;"";1962;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;9;Geir Morten Øvestad;Kleppe;"";1980;Mann
Fylkestingsvalget 2019;Rogaland;FNB;Folkeaksjonen Nei til mer bompenger;10;Viivika Ramsland;Hafrsfjord;"";1978;Kvinne
